,productid,brand,category,subcategory,name
0,HBV00000AX6LR,Palette,Kişisel Bakım,Saç Bakımı,Palette Kalıcı Doğal Renkler 10-4 PAPATYA
1,HBV00000BSAQG,Best,Pet Shop,Kedi,Best Pet Jöle İçinde Parça Etli Somonlu Konserve Yetişkin Kedi Maması 415 gr
2,HBV00000JUHBA,Tarım Kredi,Temel Gıda,"Bakliyat, Pirinç, Makarna",Türkiye Tarım Kredi Koop.Yeşil Mercimek 1 kg
3,HBV00000NE0QI,Namet,"Et, Balık, Şarküteri",Şarküteri,Namet Fıstıklı Macar Salam 100 gr
4,HBV00000NE0UQ,Muratbey,Kahvaltılık ve Süt,Peynir,Muratbey Burgu Peyniri 250 gr
5,HBV00000NE1NR,Sek,Kahvaltılık ve Süt,Yoğurt,Sek Quark Sade 140 g
6,HBV00000NH2LJ,Sırmakeş,Su,Su,"Sırmakeş Doğal Kaynak Suyu 1,5 lt"
7,HBV00000NVZ7D,Asil Fırın,Fırın,Tatlı ve Tuzlu Kurabiyeler,Asil Fırın Gurme Cookie Çikolata 8'li
10,HBV00000OFHWS,Dtc,Fırın,Ekmekler,Dtc Organik Ekmek 500 gr
11,HBV00000OMGZY,Doğan Kitap,Oyuncak ve Kırtasiye,Gazete ve Dergi,Cumhuriyet Gazetesi
12,HBV00000PLHEY,Astonish,Ev Bakım ve Temizlik,Mutfak Ve Banyo Ürünleri,Astonish Paslanmaz Çelik Temizleyici 750 Ml
13,HBV00000PNGOO,Lindt,Atıştırmalık,"Çikolata, Gofret ve Barlar",Lindt Swiss Tradition 145 g
14,HBV00000PQIYN,Şölen,Atıştırmalık,"Çikolata, Gofret ve Barlar",Şölen Biscolata Nirvana Roll Fındıklı 28 Gr
15,HBV00000PQJG9,Dr. Oetker,Tatlı,Tatlı Malzemeleri,Dr Oetker Profıterol 360 gr
16,HBV00000PQJH1,Dr. Oetker,Tatlı,Tatlı Malzemeleri,Dr. Oetker Puding Vanilyalı 120 Gr
17,HBV00000PQLNF,Tarım Kredi,Temel Gıda,"Bakliyat, Pirinç, Makarna",Tarım Kredi Birlik Pilavlık Bulgur 1 kg
18,HBV00000PV5JB,Air Wick,Ev Bakım ve Temizlik,Oda Kokusu ve Koku Gidericiler,Air Wick Oda Kokusu Life Scents Kokulu Çubuk Tatlı Lavanta Esintisi
19,HBV00000PV5N7,Aptamil,Bebek,Devam Sütleri ve Ek Gıdalar,Aptamil 3 800 g
20,HBV00000PV87H,Gliss,Kişisel Bakım,Saç Bakımı,Gliss Ultimate Oil Elixir Saç Kremi 400 ml
21,HBV00000PV8KX,Hot Wheels,Oyuncak ve Kırtasiye,Oyuncak,Hot Wheels Taşıyıcı Tırlar
22,HBV00000PVBCY,Henkel,Oyuncak ve Kırtasiye,Yapıştırıcı ve Etiketler,Pattex Şeffaf Yapıştırıcı 50 g
23,HBV00000PVBRS,Raid,Ev Bakım ve Temizlik,Haşere Öldürücüler,Raid Sineksavar 300 ml
24,HBV00000PVQ53,Dove,Kişisel Bakım,Duş Jelleri ve Sabunlar,Shea Butter Cream Bar Sabun 100 gr
25,HBV00000PVQ6T,Duru,Kişisel Bakım,Duş Jelleri ve Sabunlar,Duru Fresh Duş Sabunu Misket Limon 4X150 g
26,HBV00000PVQWZ,Sensodyne,Kişisel Bakım,Ağız Bakım,Çocuk Diş Macunu Promine 50 ml
27,HBV00000PVR1C,Varta,Ev Yaşam ve Bahçe,Pil,Varta Longlife Power Alkalin AAA 4'lü İnce Pil
28,HBV00000QU463,Nestle,Atıştırmalık,"Çikolata, Gofret ve Barlar",Nestle Classic Frambuazlı Beyaz Çikolata 30 gr
29,HBV00000SF25J,Sensodyne,Kişisel Bakım,Ağız Bakım,Promine Onarım Extra Ferah Diş Macunu 75 ml
30,HBV00000SP6XD,Buffa,Kahvaltılık ve Süt,Peynir,Buffa Burata 150 gr
31,HBV00000SP80N,Humm Organic,Fırın,Tatlı ve Tuzlu Kurabiyeler,Humm Organik Kinoalı Ballı Kurabiye 55 gr
33,HBV00000SP85G,Old Spice,Kişisel Bakım,Duş Jelleri ve Sabunlar,Old Spice Duş Jeli Whitewater 400 ml
34,HBV00000SP86H,Orkid,Sağlık ve Kozmetik,Hijyenik Pedler,Mesane Pedi Extra Uzun 18'li
35,HBV00000SP88B,Revox,Kişisel Bakım,Saç Bakımı,Qenzym Q10 Şampuan 360 ml
36,HBV00000TDAVT,Tek Lezzet,Temel Gıda,Konserve,Tek Lezzet Enginar Püresi Kavonoz 150 gr
37,HBV00000TDWFG,Tek Lezzet,Pratik Yemekler,Hazır Yemekler,Tek Lezzet Mısır Kavanoz 350 gr
39,HBV00000U2AY5,Dr. Oetker,Fırın,Ekmekler,Dr. Oetker Şekerli Süsleme Glazürü 76 gr
40,OFISED344PVC41,Edding,Oyuncak ve Kırtasiye,Kalemler,edding Fosforlu Kalem Karışık Renkler 4+1 Hediye
41,OFISVAR4906121414,Varta,Ev Yaşam ve Bahçe,Pil,Varta High Energy Güçlü Alkalin Seri Kalem Pil - AA 4'lü 4906121414
42,SG109308,Sensodyne,Kişisel Bakım,Ağız Bakım,Sensodyne Onarım Ve Koruma Beyazlatıcı Diş Macunu 75 ml
43,SGARPFTR12990,Palmolive,Kişisel Bakım,Duş Jelleri ve Sabunlar,Palmolive Body Butter Vanilya Aşkı Banyo ve Duş Jeli 500 ml
44,SGCOL048019,Colgate,Kişisel Bakım,Ağız Bakım,Colgate 360 Gold Diş Fırçası Yumuşak 1+1
45,SGGIL016808,Gillette Venus,Sağlık ve Kozmetik,Tıraş Ürünleri,Gillette Venus Riviera 2'li Kullan At Kadın Tıraş Bıçağı
46,SGLOREAL80082,Loreal Paris,Sağlık ve Kozmetik,"El, Yüz ve Vücut Bakımı",L'Oréal Paris Revitalift Lazer X3 Yoğun Yaşlanma Karşıtı Gece Bakım Kremi
47,ZYBAR7300400112734,Wasa,Organik ve Diyet,Diyet Ürünler,Wasa Susamlı Gevrek Ekmek / Crispbread Sesam
48,ZYBICN9287642,Superfresh,Pratik Yemekler,"Dondurulmuş Sebze, Meyve",Superfresh Donuk Patates 450 Gr
49,ZYDOGUS110460,Doğuş,İçecekler,Çay,Doğuş Gurme Süzen Poşet Çay 100'lü 200 gr
50,ZYHPPEPSIGZS019,LIPTON ICE TEA,İçecekler,Gazsız İçecekler,"Lipton Ice Tea Şeftali 1,5 L"
51,ZYHPSOLENKEK002,Şölen,Atıştırmalık,Bisküvi ve Kekler,Biscolata Pia Frambuazlı 100 gr
52,ZYIDP80050100,Nutella,Atıştırmalık,"Çikolata, Gofret ve Barlar",Nutella Go 52 gr
53,ZYKOM8699300270002,Komili,Temel Gıda,Sıvı Yağ,Komili Naturel Sızma 500 ml
54,ZYPINAR153100005,Pınar,Kahvaltılık ve Süt,Süt,Pınar Tam Yağlı Süt 6x500 ml
55,AILEDALIN275114,Dalin,Bebek,Bebek Bakım ve Sağlığı,Dalin Kolay Tarama Saç Spreyi Badem Özlü
56,AILEHYT5313,Hayat,Su,Su,Hayat Bebek Su 6x330 ml
57,HBV000006IYOS,Şölen,Atıştırmalık,"Çikolata, Gofret ve Barlar",Şölen Ozmo Go Beyaz Ve Bitter Çikolata 30 Gr
58,HBV000008RAID,Le Petit Marseillais,Kişisel Bakım,Duş Jelleri ve Sabunlar,Le Petit Marseillais Duş Jeli Akdeniz Çileği 400ml
59,HBV00000H9NXO,Vileda,Ev Bakım ve Temizlik,Ev Temizlik Ürünleri,Vileda Mikrofiber Renkli Bez 8'li
60,HBV00000LR9GO,Kotex,Sağlık ve Kozmetik,Hijyenik Pedler,Kotex Active Ultra İnce Günlük Ped 16'lı
61,HBV00000NE0T0,İçim,Kahvaltılık ve Süt,Süt,İçim Pastorize Çikolatalı Süt Pastorize Şişe 1 Lt
62,HBV00000NE0T8,Carrefour,Temel Gıda,Sıvı Yağ,Carrefour Ayçiçek Yağı 5 Lt
63,HBV00000NE0ZA,Tahsildaroğlu,Kahvaltılık ve Süt,Peynir,Tahsildaroglu Torba Lor Peynir 500 gr
64,HBV00000NE170,Carrefour,Kişisel Bakım,Duş Jelleri ve Sabunlar,Carrefour Kefir Sabun 125 gr
65,HBV00000NE18X,Namet,"Et, Balık, Şarküteri",Şarküteri,Namet Blok Tavuk Jambon 250 gr
66,HBV00000NE18Z,Namet,"Et, Balık, Şarküteri",Şarküteri,Namet 7/24 Hindi Salam 60 gr
67,HBV00000NE1F8,Reis,Temel Gıda,"Bakliyat, Pirinç, Makarna",Reis Kırmızı Mercimek 2.5 Kg
68,HBV00000NFH1A,Uludağ,İçecekler,Meyve Suyu,Uludağ Meyvelim Greyfurt 1 lt
